Category;Site;A;Currency Site;Email of Company
Antenna-ANT;SITE/00004-SITE/00004;37.32679297-ea;EURO/EUR;
Antenna-ANT;SITE/00004-SITE/00004;37.32679297-ea;EURO/EUR;
Antenna-ANT;SITE/00004-SITE/00004;37.32679297-ea;EURO/EUR;
Antenna-ANT;SITE/00009-SITE/00009;40.68297392-ea;EURO/EUR;
Antenna-ANT;SITE/00009-SITE/00009;40.68297392-ea;EURO/EUR;
Antenna-ANT;SITE/00009-SITE/00009;40.68297392-ea;EURO/EUR;
Antenna-ANT;SITE/00010-SITE/00010;37.32466597-ea;EURO/EUR;
Antenna-ANT;AC01/Offic1805_02-AC01/Offic1805_02;37.3832-ea;EURO/EUR;
Antenna-ANT;AC01/Offic1805_02-AC01/Offic1805_02;37.3832-ea;EURO/EUR;
Antenna-ANT;AC01/Offic2-AC01/Offic2;41.8728-ea;DOLAR/$;
Antenna-ANT;AD02/Offic1905_01-AD02/Offic1905_01;40.9997-ea;EURO/EUR;
Antenna-ANT;SITE 0030006-SITE 0030006;60.25-ea;EURO/EUR;
Antenna-ANT;SITE 0030006-SITE 0030006;60.25-ea;EURO/EUR;
Antenna-ANT;CG57/22ON-CG57/22ON;37.3891-ea;EURO/EUR;
Antenna-ANT;CG57/22ON-CG57/22ON;37.3891-ea;EURO/EUR;
Antenna-ANT;CG57/22ON-CG57/22ON;37.3891-ea;EURO/EUR;
Antenna-ANT;CG57/22ON-CG57/22ON;37.3891-ea;EURO/EUR;
Antenna-ANT;CG57/22ON-CG57/22ON;37.3891-ea;EURO/EUR;
Antenna-ANT;CG57/22ON-CG57/22ON;37.3891-ea;EURO/EUR;
Antenna-ANT;CG57/22ON-CG57/22ON;37.3891-ea;EURO/EUR;
Antenna-ANT;CG57/22ON-CG57/22ON;37.3891-ea;EURO/EUR;
Antenna-ANT;CG57/22ON-CG57/22ON;37.3891-ea;EURO/EUR;
Antenna-ANT;CG57/22ON-CG57/22ON;37.3891-ea;EURO/EUR;
Antenna-ANT;CG57/22ON-CG57/22ON;37.3891-ea;EURO/EUR;
